Time,Valence,Arousal
0.48,0.67,0.47
0.5,0.66,0.47
0.52,0.66,0.47
0.54,0.65,0.46
0.56,0.64,0.46
0.58,0.63,0.46
0.6,0.63,0.45
0.62,0.65,0.45
0.64,0.65,0.45
0.66,0.65,0.46
0.68,0.67,0.47
0.7,0.66,0.47
0.72,0.67,0.48
0.74,0.67,0.48
0.76,0.65,0.47
0.78,0.66,0.47
0.8,0.65,0.46
0.82,0.64,0.46
0.84,0.65,0.45
0.86,0.68,0.47
0.88,0.7,0.48
0.9,0.67,0.48
0.92,0.7,0.49
0.94,0.68,0.48
0.96,0.67,0.47
0.98,0.67,0.48
1.0,0.67,0.49
1.02,0.69,0.5
1.04,0.69,0.5
1.06,0.69,0.5
1.08,0.68,0.49
1.1,0.68,0.49
1.12,0.65,0.47
1.14,0.66,0.47
1.16,0.67,0.47
1.18,0.68,0.48
1.2,0.71,0.49
1.22,0.7,0.49
1.24,0.68,0.48
1.26,0.7,0.49
1.28,0.72,0.51
1.3,0.71,0.51
1.32,0.71,0.51
1.34,0.71,0.51
1.36,0.71,0.51
1.38,0.71,0.51
1.4,0.72,0.51
1.42,0.71,0.51
1.44,0.69,0.49
1.46,0.68,0.48
1.48,0.68,0.48
1.5,0.66,0.47
1.52,0.68,0.49
1.54,0.7,0.5
1.56,0.7,0.51
1.58,0.7,0.5
1.6,0.7,0.5
1.62,0.69,0.5
1.64,0.69,0.49
1.66,0.68,0.48
1.68,0.68,0.48
1.7,0.67,0.47
1.72,0.67,0.47
1.74,0.67,0.46
1.76,0.67,0.46
1.78,0.67,0.45
1.8,0.66,0.44
1.82,0.66,0.43
1.84,0.66,0.43
1.86,0.66,0.43
1.88,0.66,0.43
1.9,0.66,0.42
1.92,0.66,0.42
1.94,0.66,0.42
